Protein,Localization,Length,Mass,Hydrophobic,Positive Charged,Negative Charged,Polar,Hydropathicity
RPL22,Nuclear,128,14787,51,26,20,31,-96.7
RPL23A,Nuclear,156,17695,72,45,14,25,-113.3
RPL24,Nuclear,157,17779,67,46,9,35,-145.4
RPL26,Nuclear,145,17258,52,45,15,33,-160.5
RPL26L1,Nuclear,145,17256,53,45,15,32,-156.3
RPL27,Nuclear,136,15798,62,38,11,25,-87.6
RPL27A,Nuclear,148,16561,70,43,6,29,-96.6
RPL28,Nuclear,137,15748,55,37,4,41,-101.9
RPL29,Nuclear,159,17752,69,52,7,31,-173.2
RPL3,Nuclear,403,46109,176,102,39,86,-260.7
RPL30,Nuclear,115,12784,52,21,9,33,-33.9
RPL31,Nuclear,125,14463,53,32,13,27,-101.8
RPL32,Nuclear,135,15860,57,39,9,30,-103.6
RPL34,Nuclear,117,13293,50,33,3,31,-63.3
RPL35,Nuclear,123,14551,47,42,11,23,-128.7
RPL35A,Nuclear,110,12538,51,27,5,27,-64
RPL36,Nuclear,105,12254,46,37,8,14,-87.3
RPL36AL,Nuclear,106,12469,37,36,6,27,-124.7
RPL37,Nuclear,97,11078,31,33,1,32,-120.2
RPL37A,Nuclear,92,10275,37,24,3,28,-41
RPL3L,Nuclear,407,46296,180,107,33,87,-250.6
RPL4,Nuclear,427,47697,203,107,27,90,-260.8
RPL5,Nuclear,297,34363,126,64,35,72,-220.6
RPL6,Nuclear,288,32728,128,82,22,56,-210.8
RPL7,Nuclear,248,29226,115,65,21,47,-154.4
RPL7A,Nuclear,266,29996,129,66,21,50,-145.5
RPL8,Nuclear,257,28025,132,64,17,44,-135.6
RPLP0,Nuclear,317,34274,174,36,36,71,12.8
RPLP1,Nuclear,114,11514,69,8,18,19,12.5
RPLP2,Nuclear,115,11665,63,12,21,19,-27.3
RPP14,Nuclear,124,13693,65,14,12,33,34.2
RPP25L,Nuclear,163,17631,85,28,15,35,-79.4
RPP30,Nuclear,268,29321,137,43,29,59,16.4
RPP38,Nuclear,283,31834,128,57,33,65,-133.7
RPP40,Nuclear,363,41834,159,51,42,111,-102.5
RPS10,Nuclear,165,18898,81,36,18,30,-140.4
RPS11,Nuclear,158,18431,67,38,12,41,-95.9
RPS12,Nuclear,132,14515,63,24,21,24,-24.7
RPS13,Nuclear,151,17222,70,37,12,32,-68.6
RPS14,Nuclear,151,16273,74,30,16,31,-75.9
RPS15,Nuclear,145,17040,66,36,14,29,-103.6
RPS15A,Nuclear,130,14840,67,26,12,25,-15.6
RPS16,Nuclear,146,16445,71,32,12,31,-64.9
RPS18,Nuclear,152,17719,66,41,16,29,-107.9
RPS19,Nuclear,145,16060,70,31,13,31,-88.6
RPS2,Nuclear,293,31324,159,52,22,60,-68.4
RPS23,Nuclear,143,15808,70,37,11,25,-74.2
RPS24,Nuclear,133,15423,55,40,11,27,-132.3
RPS25,Nuclear,125,13742,54,34,14,23,-107.6
RPS26,Nuclear,115,13015,54,32,7,22,-75.9
RPS27A,Nuclear,156,17965,58,39,19,40,-131.7
RPS28,Nuclear,69,7841,29,14,9,17,-41
RPS29,Nuclear,56,6677,21,14,2,19,-43.3
RPS3,Nuclear,243,26688,132,41,26,44,-37.1
RPS3A,Nuclear,264,29945,114,57,32,61,-163.1
RPS4X,Nuclear,263,29598,130,57,25,51,-86.7
RPS5,Nuclear,204,22876,94,37,22,51,-77.6
RPS6,Nuclear,249,28681,99,71,26,53,-235.4
RPS7,Nuclear,194,22127,91,42,23,38,-89
RPS8,Nuclear,208,24205,77,58,20,53,-212.2
RSBN1,Nuclear,802,90072,359,137,97,209,-530.3
RSBN1L,Nuclear,846,94870,359,156,114,217,-613.3
SAP130,Nuclear,1048,110324,538,125,62,323,-319.2
SART1,Nuclear,800,90255,311,159,159,171,-867.4
SART3,Nuclear,963,109935,416,155,164,228,-635.5
SCMH1,Nuclear,660,73354,304,106,61,189,-316
SDAD1,Nuclear,687,79871,280,134,96,177,-460.4
SECISBP2,Nuclear,854,95462,347,136,112,259,-636.8
SECISBP2L,Nuclear,1101,121776,428,147,145,381,-836.4
SENP5,Nuclear,755,86693,298,140,83,234,-510.6
SETBP1,Nuclear,1596,175008,674,296,164,462,-1399
SETX,Nuclear,2677,302880,1057,423,367,830,-1618.1
SHPRH,Nuclear,1683,193079,698,284,226,475,-803.9
SIN3A,Nuclear,1273,145175,537,199,164,373,-873.8
SIN3B,Nuclear,1162,133066,494,191,166,311,-738.5
SIRT7,Nuclear,400,44898,173,80,47,100,-239.3
SLC40A1,Nuclear,571,62542,315,50,44,162,243.6
SLX4,Nuclear,1834,200012,800,261,254,519,-1440.1
SLX4IP,Nuclear,408,45552,156,76,48,128,-295.1
SMARCA2,Nuclear,1590,181279,673,270,237,410,-1423.2
SMARCB1,Nuclear,385,44141,162,58,56,109,-221.8
SMARCC2,Nuclear,1214,132879,575,169,173,297,-904.4
SMARCD1,Nuclear,515,58233,241,79,58,137,-329.1
SMARCD2,Nuclear,531,58921,281,82,54,114,-269.2
SMARCE1,Nuclear,411,46649,153,61,81,116,-470
SNRNP200,Nuclear,2136,244508,970,317,308,541,-699.7
SNRNP27,Nuclear,155,18860,37,55,24,39,-310.1
SNRNP35,Nuclear,246,29450,96,64,47,39,-301.1
SNRNP40,Nuclear,357,39311,164,49,36,108,-126.2
SNRNP48,Nuclear,339,39965,104,77,68,90,-425.8
SNRPB,Nuclear,240,24610,165,32,12,31,-89
SNRPD1,Nuclear,119,13282,58,29,10,22,-69
SNRPE,Nuclear,92,10804,41,14,9,28,-32.3
SNRPF,Nuclear,86,9725,44,9,14,19,-26.3
SNRPG,Nuclear,76,8496,42,12,8,14,-5
SOX2,Nuclear,317,34310,150,45,21,101,-235.3
SP110,Nuclear,689,78396,270,128,89,202,-543.2
SP2,Nuclear,613,64900,297,70,28,218,-231.1
SPATS2,Nuclear,545,59545,217,82,64,182,-414.6
SPATS2L,Nuclear,558,61729,227,109,64,158,-505.9
SPTY2D1,Nuclear,685,75599,268,145,94,178,-826.8
SRBD1,Nuclear,995,111776,434,164,127,270,-409.5
SRP14,Nuclear,136,14570,62,26,11,37,-60.5
SRP9,Nuclear,86,10112,35,16,13,22,-44.2
SRPK1,Nuclear,655,74325,257,108,103,187,-507.3
SRPK2,Nuclear,688,77527,291,100,126,171,-516
SRSF1,Nuclear,248,27745,102,54,31,61,-285.7
SRSF3,Nuclear,164,19330,55,47,19,43,-249.4
SRSF4,Nuclear,494,56678,108,160,58,168,-908.2
SRSF5,Nuclear,272,31264,88,76,33,75,-355.6
SRSF6,Nuclear,344,39587,94,100,39,111,-533.2
SRSF7,Nuclear,238,27367,79,68,19,72,-332.6
SS18L2,Nuclear,77,8835,32,10,10,25,-32.6
SSX2IP,Nuclear,614,71236,203,102,97,212,-541.8
STAU1,Nuclear,577,63182,274,85,56,162,-335.2
STAU2,Nuclear,570,62608,264,88,56,162,-398.2
SUPT20H,Nuclear,779,85789,330,96,69,284,-434.8
SYNCRIP,Nuclear,623,69603,280,103,85,155,-548.8
TADA2B,Nuclear,420,48470,173,81,68,98,-305.6
TAF1A,Nuclear,450,52676,191,77,50,132,-201.1
TAF1B,Nuclear,588,68832,224,99,79,186,-332.3
TAF1C,Nuclear,869,95213,455,110,77,227,-269.2
TAF1D,Nuclear,278,32058,101,58,49,70,-290
TAF2,Nuclear,1199,136971,532,189,128,350,-387.8
TAF5L,Nuclear,589,66155,248,68,67,206,-213.8
TARBP2,Nuclear,366,39039,177,46,42,101,-107.6
TASP1,Nuclear,420,44455,204,58,44,114,-97.3
TCEANC2,Nuclear,208,24150,80,50,26,52,-151.7
TDRD3,Nuclear,651,73185,261,112,85,193,-657.1
TEP1,Nuclear,2627,290490,1280,361,265,721,-562.1
TFPT,Nuclear,253,28278,118,40,46,49,-243.7
THAP1,Nuclear,213,24944,84,42,30,57,-170.7
THAP11,Nuclear,314,34455,143,43,29,99,-180.4
THAP2,Nuclear,228,26260,91,51,18,68,-126
THAP3,Nuclear,239,27059,100,50,23,66,-226.6
THAP4,Nuclear,577,62890,245,96,59,177,-387.3
THAP7,Nuclear,309,34414,139,55,33,82,-233.3
THAP9,Nuclear,903,103411,399,144,82,278,-161.6
THOC1,Nuclear,657,75666,261,86,108,202,-419.9
THOC2,Nuclear,1593,182775,612,314,243,424,-1227
THOC5,Nuclear,683,78508,287,117,100,179,-401.6
THOC6,Nuclear,341,37535,165,43,33,100,-55.6
THRAP3,Nuclear,955,108666,278,241,135,301,-1554.9
TICRR,Nuclear,1910,210857,814,306,227,563,-1237.7
TIGD7,Nuclear,549,63236,226,101,79,143,-330.5
TMPRSS2,Nuclear,492,53859,225,49,35,183,-122.2
TNRC18,Nuclear,2968,314519,1477,458,366,667,-2089.3
TNRC6A,Nuclear,1962,210297,768,197,174,823,-1847.8
TOE1,Nuclear,510,56548,230,75,61,144,-259.7
TOP1,Nuclear,765,90726,261,200,142,162,-987.2
TOP3B,Nuclear,862,96662,391,139,98,234,-342.4
TOPORS,Nuclear,1045,119198,336,217,143,349,-1177.1
TPGS1,Nuclear,290,31275,166,43,33,48,-38.1
TRAPPC11,Nuclear,1133,128881,526,155,127,325,-187.2
TRAPPC8,Nuclear,1435,160997,638,196,162,439,-449.7
TRIM56,Nuclear,755,81488,380,112,89,174,-275.9
TRIP12,Nuclear,1992,220434,874,292,228,598,-1011.1
TRMT1L,Nuclear,733,81747,325,114,84,210,-285
TRMT2A,Nuclear,625,68726,314,92,69,150,-207.1
TRMT6,Nuclear,497,55799,215,84,73,125,-353
TRMT61A,Nuclear,289,31382,146,39,27,77,-36.1
TRRAP,Nuclear,3859,437600,1862,535,391,1071,-512.6
TSNARE1,Nuclear,513,55949,241,79,55,138,-246.3
TSPYL1,Nuclear,437,49192,208,67,72,90,-284.1
TSPYL5,Nuclear,417,45143,198,64,45,110,-322.5
TTC23,Nuclear,447,50009,198,79,52,118,-182.6
TTC33,Nuclear,262,29411,116,39,42,65,-131
TXNL4A,Nuclear,142,16786,64,21,21,36,-46.6
UBR5,Nuclear,2799,309352,1246,369,371,813,-1301.4
UIMC1,Nuclear,719,79727,258,113,122,226,-652.8
UPF1,Nuclear,1129,124345,540,134,122,333,-396.4
UPF3A,Nuclear,476,54696,178,116,95,87,-649.4
UPF3B,Nuclear,483,57762,142,138,109,94,-819.5
USP39,Nuclear,565,65381,237,101,73,154,-342.4
USP51,Nuclear,711,79756,296,124,78,213,-424.7
UTP14C,Nuclear,766,87188,307,143,129,187,-705.1
UTP23,Nuclear,249,28402,101,59,23,66,-190
WDR24,Nuclear,790,88207,358,120,101,211,-260.3
WDR5,Nuclear,334,36588,136,47,34,117,-107.6
WDR82,Nuclear,313,35079,143,43,35,92,-61.5
WRN,Nuclear,1432,162461,599,217,205,411,-630.3
XRCC5,Nuclear,732,82705,338,108,109,177,-245.8
XRCC6,Nuclear,609,69843,269,102,96,142,-326.3
YBX1,Nuclear,324,35924,137,57,40,90,-480.9
YBX2,Nuclear,364,38518,196,54,33,81,-330.2
YBX3,Nuclear,372,40090,176,60,43,93,-413.5
YTHDC2,Nuclear,1430,160248,661,214,168,387,-510.1
YY1AP1,Nuclear,796,87944,385,107,87,217,-360.5
ZBED6,Nuclear,979,109973,420,134,116,309,-304.5
ZBTB11,Nuclear,1053,119384,398,207,131,317,-733.1
ZBTB12,Nuclear,459,49148,245,67,49,98,-57
ZBTB21,Nuclear,1066,118870,432,176,125,333,-690
ZBTB24,Nuclear,697,78282,266,123,84,224,-522.2
ZBTB41,Nuclear,909,105192,305,202,131,271,-821.2
ZBTB48,Nuclear,688,77054,298,130,82,178,-408.6
ZBTB49,Nuclear,765,85061,294,120,90,261,-499.1
ZBTB6,Nuclear,424,48236,160,69,56,139,-208.7
ZC3H10,Nuclear,434,46052,223,58,45,108,-215.2
ZC3H14,Nuclear,736,82876,298,113,97,228,-548.5
ZC3H4,Nuclear,1303,140257,611,205,194,293,-1529.8
ZC3H6,Nuclear,1189,131670,478,204,159,348,-1264.3
ZC3H7B,Nuclear,977,109858,425,153,129,270,-553.5
ZC3H8,Nuclear,291,33576,91,63,48,89,-368
ZCCHC17,Nuclear,241,27570,80,66,37,58,-300.2
ZCCHC3,Nuclear,403,43547,208,71,55,69,-224
ZCCHC4,Nuclear,513,59010,210,95,53,155,-280.2
ZCCHC8,Nuclear,707,78577,303,86,115,203,-544.3
ZCCHC9,Nuclear,271,30477,109,57,34,71,-234.5
ZCRB1,Nuclear,217,24592,81,42,37,57,-204.1
ZFAT,Nuclear,1243,139034,499,220,165,359,-741.6
ZFC3H1,Nuclear,1989,226356,796,320,274,599,-1425.7
ZFP14,Nuclear,533,63463,169,126,70,168,-525.1
ZFP30,Nuclear,519,61558,168,128,63,160,-479.3
ZFP64,Nuclear,645,72217,231,131,70,213,-427.2
ZFP90,Nuclear,636,73031,201,132,79,224,-657.5
ZFP91,Nuclear,570,63445,225,112,95,138,-575.6
ZKSCAN2,Nuclear,967,110941,375,186,134,272,-802.4
ZKSCAN5,Nuclear,839,96903,298,165,113,263,-732
ZKSCAN8,Nuclear,578,65816,216,110,79,173,-498.6
ZMAT3,Nuclear,289,32059,129,42,25,93,-210.6
ZMYND8,Nuclear,1186,131692,428,179,156,423,-1002.6
ZNF100,Nuclear,542,62745,176,125,59,182,-480.8
ZNF101,Nuclear,436,50339,147,110,40,139,-405.3
ZNF107,Nuclear,783,90673,233,204,79,267,-812.6
ZNF112,Nuclear,913,105842,293,189,107,324,-899.1
ZNF12,Nuclear,697,81202,222,137,87,251,-601.2
ZNF124,Nuclear,351,40217,109,82,36,124,-360.8
ZNF133,Nuclear,654,73388,252,135,62,205,-521.7
ZNF134,Nuclear,427,48480,142,99,44,142,-368.5
ZNF136,Nuclear,540,62784,182,134,57,167,-502.5
ZNF14,Nuclear,642,75353,184,169,69,220,-720.7
ZNF141,Nuclear,474,55249,151,128,56,139,-461.3
ZNF142,Nuclear,1687,187880,704,326,192,465,-1267.9
ZNF155,Nuclear,538,62081,186,116,66,170,-459.2
ZNF16,Nuclear,682,76472,244,138,78,222,-579.1
ZNF165,Nuclear,485,55771,174,95,71,145,-406.9
ZNF169,Nuclear,603,68488,234,129,60,180,-466.6
ZNF175,Nuclear,711,81609,235,155,77,244,-623.7
ZNF180,Nuclear,692,79111,219,131,84,258,-649.9
ZNF181,Nuclear,571,65842,187,124,62,198,-464
ZNF184,Nuclear,751,86174,226,155,92,278,-792.5
ZNF189,Nuclear,626,72976,204,140,77,205,-583
ZNF197,Nuclear,1029,118847,361,222,126,320,-842.2
ZNF20,Nuclear,532,61567,162,127,64,179,-539.1
ZNF213,Nuclear,459,51263,197,80,65,117,-369.7
ZNF22,Nuclear,224,25915,63,62,18,81,-277.9
ZNF23,Nuclear,643,73059,219,126,73,225,-546.8
ZNF234,Nuclear,700,80560,240,161,77,222,-564
ZNF251,Nuclear,671,75763,254,143,65,209,-555.5
ZNF253,Nuclear,499,57602,167,123,52,157,-426
ZNF254,Nuclear,659,77160,207,162,72,218,-602.9
ZNF260,Nuclear,412,47222,132,106,38,136,-381.1
ZNF267,Nuclear,743,87376,209,173,83,278,-738.1
ZNF268,Nuclear,947,108374,332,197,85,333,-677.3
ZNF275,Nuclear,429,48443,168,105,49,107,-399.9
ZNF276,Nuclear,614,67219,266,112,72,164,-466.8
ZNF277,Nuclear,450,52788,170,70,77,133,-273.1
ZNF28,Nuclear,718,83658,227,185,78,228,-683.6
ZNF282,Nuclear,671,74295,311,95,94,171,-543.3
ZNF302,Nuclear,478,54814,168,95,48,167,-302.9
ZNF324,Nuclear,553,61104,240,108,49,156,-347.6
ZNF324B,Nuclear,544,60602,230,109,47,158,-369.3
ZNF329,Nuclear,541,61725,185,116,60,180,-525.4
ZNF331,Nuclear,463,53739,144,115,54,150,-495.6
ZNF335,Nuclear,1342,144893,609,187,163,383,-798.8
ZNF337,Nuclear,751,86875,259,185,70,237,-700.8
ZNF33A,Nuclear,810,94384,245,173,100,292,-790.6
ZNF34,Nuclear,560,64038,201,121,65,173,-504.1
ZNF341,Nuclear,854,92728,415,133,67,239,-444.1
ZNF346,Nuclear,294,32933,116,56,30,92,-219.9
ZNF354A,Nuclear,605,69237,195,138,54,218,-543.3
ZNF354B,Nuclear,612,70529,195,141,56,220,-535
ZNF385A,Nuclear,386,40454,217,58,27,84,-160.5
ZNF394,Nuclear,561,64256,200,114,80,167,-554.7
ZNF397,Nuclear,534,61139,190,93,70,181,-419.1
ZNF398,Nuclear,642,71311,277,96,77,192,-411.8
ZNF407,Nuclear,2248,247367,903,364,312,669,-1371.3
ZNF408,Nuclear,720,78439,341,113,85,181,-434.5
ZNF416,Nuclear,594,67188,225,113,66,190,-353.9
ZNF417,Nuclear,575,65733,195,135,58,187,-534.9
ZNF425,Nuclear,752,87721,259,183,82,228,-692.7
ZNF430,Nuclear,570,66319,187,122,66,195,-481.6
ZNF438,Nuclear,828,91836,361,149,76,242,-541.3
ZNF443,Nuclear,671,77516,211,172,68,220,-689.8
ZNF462,Nuclear,2506,284688,968,428,304,806,-1864.7
ZNF467,Nuclear,595,65124,267,120,55,153,-451
ZNF468,Nuclear,522,60573,169,129,60,164,-471.6
ZNF469,Nuclear,3925,410202,2013,534,423,955,-3051.4
ZNF473,Nuclear,871,100182,279,187,101,304,-807.3
ZNF48,Nuclear,618,67820,281,132,67,138,-600.1
ZNF480,Nuclear,535,61708,189,121,56,169,-438
ZNF483,Nuclear,744,85098,251,158,97,238,-654.4
ZNF484,Nuclear,852,98221,282,183,102,285,-719.4
ZNF485,Nuclear,441,50280,152,110,38,141,-405.6
ZNF490,Nuclear,529,61340,165,124,62,178,-528.9
ZNF497,Nuclear,498,54721,204,110,48,136,-437.1
ZNF500,Nuclear,480,53674,217,81,64,118,-395.3
ZNF506,Nuclear,444,51537,149,109,47,139,-372.1
ZNF510,Nuclear,683,79142,210,148,76,249,-720.4
ZNF525,Nuclear,479,56029,148,114,58,159,-470
ZNF526,Nuclear,670,73622,306,99,81,184,-403.9
ZNF551,Nuclear,670,77515,218,145,78,229,-604.6
ZNF555,Nuclear,628,73084,210,145,64,209,-536.3
ZNF561,Nuclear,486,55197,178,97,50,161,-299.9
ZNF562,Nuclear,426,48563,153,81,45,147,-288.7
ZNF564,Nuclear,553,63735,190,125,64,174,-501.2
ZNF565,Nuclear,539,62445,198,119,69,153,-417.8
ZNF567,Nuclear,647,75164,198,153,66,230,-655.5
ZNF57,Nuclear,555,64428,168,130,56,201,-548.4
ZNF574,Nuclear,896,98900,413,157,91,235,-455.3
ZNF586,Nuclear,402,46413,130,96,46,130,-360.9
ZNF587B,Nuclear,402,45541,146,81,44,131,-301.2
ZNF592,Nuclear,1267,137528,555,200,133,379,-739.8
ZNF593,Nuclear,134,15199,56,31,18,29,-143.6
ZNF594,Nuclear,807,93907,239,203,102,263,-889.5
ZNF606,Nuclear,792,91812,273,150,91,278,-635.5
ZNF607,Nuclear,696,80507,235,172,81,208,-588.6
ZNF611,Nuclear,705,81449,218,173,77,237,-670
ZNF616,Nuclear,781,90273,251,208,67,255,-720.3
ZNF624,Nuclear,865,99929,283,191,98,293,-796.3
ZNF627,Nuclear,461,52853,160,106,54,141,-427.5
ZNF628,Nuclear,1059,110887,565,132,68,294,-402.3
ZNF629,Nuclear,869,96620,340,158,99,272,-764.8
ZNF652,Nuclear,606,69744,214,134,78,180,-584.5
ZNF653,Nuclear,615,67235,278,106,86,145,-395.2
ZNF66,Nuclear,573,65874,182,153,57,181,-525.1
ZNF668,Nuclear,619,67890,275,132,65,147,-437.5
ZNF670,Nuclear,389,44603,126,83,47,133,-335
ZNF672,Nuclear,452,50224,180,115,32,125,-320.9
ZNF675,Nuclear,568,66299,168,140,71,189,-576.5
ZNF678,Nuclear,525,61411,148,136,54,187,-534
ZNF684,Nuclear,378,43945,133,81,40,124,-276.7
ZNF687,Nuclear,1237,129529,628,172,114,323,-554.6
ZNF689,Nuclear,46,5037,23,7,3,13,-0.1
ZNF689,Nuclear,500,56907,195,120,41,144,-467.4
ZNF7,Nuclear,686,77887,247,134,77,228,-529.6
ZNF70,Nuclear,446,50802,153,99,53,141,-425.1
ZNF700,Nuclear,742,86232,226,184,88,244,-812.7
ZNF707,Nuclear,371,43088,141,93,41,96,-355.9
ZNF710,Nuclear,664,74461,293,113,86,172,-360.8
ZNF714,Nuclear,554,63883,182,138,59,175,-488
ZNF736,Nuclear,427,49868,135,109,53,130,-367.2
ZNF737,Nuclear,536,61931,177,138,55,166,-445.5
ZNF746,Nuclear,644,69136,318,86,74,166,-396.5
ZNF749,Nuclear,778,90364,266,177,88,247,-667.7
ZNF765,Nuclear,523,61633,152,124,64,183,-537.8
ZNF768,Nuclear,540,60229,211,92,63,174,-554.4
ZNF77,Nuclear,545,61964,172,119,50,204,-452.1
ZNF770,Nuclear,691,80007,251,149,56,235,-509.6
ZNF771,Nuclear,317,35702,123,78,41,75,-328.7
ZNF773,Nuclear,442,50502,159,96,45,142,-332.6
ZNF776,Nuclear,518,59613,173,120,58,167,-507.1
ZNF777,Nuclear,831,93762,330,142,118,241,-737.4
ZNF780A,Nuclear,641,74531,230,147,74,190,-537.9
ZNF780B,Nuclear,833,96807,298,194,87,254,-690.7
ZNF782,Nuclear,699,80904,219,164,78,238,-778.7
ZNF783,Nuclear,546,61014,253,93,67,133,-424.9
ZNF787,Nuclear,382,40428,189,66,43,84,-239.9
ZNF789,Nuclear,425,49984,149,95,45,136,-357.4
ZNF792,Nuclear,632,71577,234,125,72,201,-471.1
ZNF799,Nuclear,643,74288,204,162,64,213,-646.7
ZNF805,Nuclear,627,71143,233,120,79,195,-467.6
ZNF823,Nuclear,610,70270,191,147,66,206,-602.9
ZNF837,Nuclear,531,58078,225,110,50,146,-519
ZNF841,Nuclear,808,93148,275,190,66,277,-704
ZNF850,Nuclear,1090,125431,348,256,116,370,-1016.2
ZNF92,Nuclear,586,68487,186,147,65,188,-547.1
ZNHIT3,Nuclear,155,17607,63,24,25,43,-72.1
ZNHIT6,Nuclear,470,53918,190,84,86,110,-377.2
ZRANB3,Nuclear,1079,123248,442,174,134,329,-587.2
ZRSR2,Nuclear,482,58045,133,126,83,140,-784
ZSCAN16,Nuclear,348,40792,120,80,57,91,-398.2
ZSCAN21,Nuclear,473,53658,176,92,64,141,-443.2
ZSCAN22,Nuclear,491,54561,188,91,61,151,-362.7
ZSCAN25,Nuclear,544,61474,241,99,72,132,-464.3
ZSCAN31,Nuclear,406,47293,138,84,66,118,-402.1
ZSCAN32,Nuclear,697,78728,260,121,86,230,-628.7
ZSCAN5A,Nuclear,496,55865,195,93,64,144,-410.4
ZSCAN9,Nuclear,394,45954,140,80,57,117,-343.9
ZXDC,Nuclear,858,89988,435,116,76,231,-352.3
ADNP,Nuclear,1102,123563,434,176,141,351,-826.8
ADNP2,Nuclear,1131,122833,581,159,80,311,-217.1
AKAP8,Nuclear,692,76108,299,103,121,169,-693.8
ARID4A,Nuclear,1257,142752,431,221,264,341,-1313.1
ATF2,Nuclear,505,54537,222,68,51,164,-283.2
ATRX,Nuclear,2492,282587,827,466,445,754,-2636.8
BAHD1,Nuclear,780,84652,382,125,80,193,-584
BANP,Nuclear,519,56494,235,58,61,165,-215.8
BCOR,Nuclear,1755,192189,783,245,226,501,-1172.5
BPTF,Nuclear,3046,338262,1153,447,423,1023,-2553.8
BRD2,Nuclear,801,88061,348,142,106,205,-678.6
C1orf131,Nuclear,293,32610,121,63,38,71,-279.2
C5orf24,Nuclear,188,20132,83,34,14,57,-153.8
CAAP1,Nuclear,361,38368,157,43,64,97,-197.9
CABIN1,Nuclear,2220,246352,1005,312,304,599,-1120.2
CACTIN,Nuclear,758,88702,284,158,131,185,-930.9
CBLL1,Nuclear,491,54519,253,80,40,118,-429.9
CBX2,Nuclear,532,56081,246,91,48,147,-366.8
CDCA2,Nuclear,1023,112676,391,165,137,330,-816.7
CDCA5,Nuclear,252,27601,119,44,32,57,-164.9
CDYL,Nuclear,598,66482,261,95,66,176,-337.8
CEBPB,Nuclear,345,36106,190,47,35,73,-187.6
CENPO,Nuclear,300,33786,135,45,34,86,-82.1
CHAF1B,Nuclear,559,61493,252,75,63,169,-246.4
CHAMP1,Nuclear,812,89099,359,128,97,228,-680.2
CHD4,Nuclear,1912,218005,804,331,334,443,-1593.7
CHERP,Nuclear,916,103702,415,144,93,264,-976.3
CLK2,Nuclear,499,60090,160,122,70,147,-545.5
COIL,Nuclear,576,62608,234,93,71,178,-414.5
CPSF1,Nuclear,1443,160884,714,191,175,363,-309.4
CPSF2,Nuclear,782,88487,350,111,132,189,-306.8
CREB1,Nuclear,327,35136,143,31,35,118,-150.3
CSTF3,Nuclear,717,82922,330,118,103,166,-344.9
CWC22,Nuclear,908,105466,297,180,162,269,-1008.9
CWC25,Nuclear,425,49647,138,122,65,100,-616.3
CXXC5,Nuclear,322,32977,168,43,27,84,-95.9
DDX39A,Nuclear,427,49130,200,64,66,97,-127.2
DDX39B,Nuclear,428,48991,204,65,67,92,-117.2
DEDD,Nuclear,318,36794,139,60,42,77,-175
DHX15,Nuclear,795,90933,348,133,109,205,-408.3
DHX8,Nuclear,1220,139315,531,208,179,302,-724.2
DLX2,Nuclear,328,34243,153,39,16,120,-220.5
DNMT3A,Nuclear,912,101858,417,139,132,224,-593
E2F6,Nuclear,281,31844,118,44,47,72,-170.8
EIF4A3,Nuclear,411,46871,191,60,57,103,-106
ESCO1,Nuclear,840,94983,288,155,106,291,-746.2
ESRRA,Nuclear,423,45510,236,58,55,74,-46.2
FBXO28,Nuclear,368,41149,167,59,41,101,-230.2
FIP1L1,Nuclear,594,66526,225,104,109,156,-740.2
FOSB,Nuclear,338,35928,164,31,42,101,-203.6
FOSL2,Nuclear,326,35193,146,45,39,96,-220.7
FUBP3,Nuclear,572,61640,291,70,55,156,-288.6
GATA2,Nuclear,480,50500,239,74,26,141,-254.6
GLE1,Nuclear,698,79836,298,113,94,193,-428.5
GPANK1,Nuclear,356,39314,169,58,48,81,-288.4
HCFC2,Nuclear,792,86779,353,101,70,268,-315.6
HEG1,Nuclear,1381,147461,566,135,128,552,-573.8
HLTF,Nuclear,1009,113929,443,166,126,274,-487.9
HMG20A,Nuclear,347,40144,124,64,60,99,-394.9
HMGA1,Nuclear,107,11676,36,27,15,29,-193.3
HNRNPF,Nuclear,415,45672,195,53,55,112,-195.7
HNRNPH1,Nuclear,449,49229,214,59,55,121,-270.4
HNRNPH2,Nuclear,449,49264,212,59,55,123,-269.5
HNRNPUL2,Nuclear,747,85105,304,114,149,180,-804.6
IK,Nuclear,557,65602,187,129,125,116,-794.6
ING4,Nuclear,249,28530,93,47,41,68,-214.2
ING5,Nuclear,240,27751,88,49,42,61,-227.1
JADE1,Nuclear,842,95533,335,148,119,240,-597.6
JADE2,Nuclear,790,87466,352,108,122,208,-504.9
JUN,Nuclear,331,35676,164,40,28,99,-155.2
JUNB,Nuclear,347,35879,185,45,29,88,-165.9
JUND,Nuclear,347,35174,207,35,32,73,-68.4
KDM2A,Nuclear,1162,132793,477,193,161,331,-666.6
KDM5B,Nuclear,1544,175658,675,239,217,413,-723
KIF18B,Nuclear,852,93011,407,124,93,228,-473.4
KIF20A,Nuclear,890,100278,368,129,115,278,-486.3
KIF22,Nuclear,665,73262,328,109,79,149,-298.5
KRT84,Nuclear,600,64842,282,75,67,176,-160.9
L3MBTL2,Nuclear,705,79110,318,111,97,179,-319.1
L3MBTL3,Nuclear,780,88337,325,129,118,208,-564
LCOR,Nuclear,433,47007,175,63,45,150,-367.2
LCORL,Nuclear,602,66964,236,94,80,192,-421.6
LMNA,Nuclear,664,74139,254,117,107,186,-573
LRIF1,Nuclear,769,84568,315,116,66,272,-431.9
MBD2,Nuclear,411,43255,202,69,43,97,-347.5
